Ship_types;Ship_sizes;Fuel_description;Sailed_time_hours;Sailed_distance_nm;Candidate_pg_criticalturn_starts;Candidate_pg_closetoshore;Candidate_coll_head;Candidate_coll_over;Candidate_coll_cross;Freq_pg_criticalturn;Freq_pg_closetoshore;Freq_dg;Freq_coll_head;Freq_coll_over;Freq_coll_cross;Freq_fou;Freq_fire;Total_freq;Freq_pg_criticalturn_fuelspill;Freq_pg_closetoshore_fuelspill;Freq_dg_fuelspill;Freq_coll_head_fuelspill;Freq_coll_over_fuelspill;Freq_coll_cross_fuelspill;Freq_fou_fuelspill;Freq_fire_fuelspill;Freq_fuelspill_total;Freq_pg_criticalturn_cargospill;Freq_pg_closetoshore_cargospill;Freq_dg_cargospill;Freq_coll_head_cargospill;Freq_coll_over_cargospill;Freq_coll_cross_cargospill;Freq_fou_cargospill;Freq_fire_cargospill;Freq_cargospill_total;Freq_spill_total;Spill_Volume_Fuel_Pg_Closetoshore;Spill_Volume_Fuel_Dg;Spill_Volume_Fuel_Pg_Criticalturn;Spill_Volume_Fuel_Collision_Head;Spill_Volume_Fuel_Collision_Over;Spill_Volume_Fuel_Collision_Cross;Spill_Volume_Fuel_Foundering;Spill_Volume_Fuel_Fire;Spill_Volume_Cargo_Pg_Closetoshore;Spill_Volume_Cargo_Dg;Spill_Volume_Cargo_Pg_Criticalturn;Spill_Volume_Cargo_Collision_Head;Spill_Volume_Cargo_Collision_Over;Spill_Volume_Cargo_Collision_Cross;Spill_Volume_Cargo_Foundering;Spill_Volume_Cargo_Fire;M1Fuel;M2Fuel;M3Fuel;M4Fuel;M5Fuel;M1Cargo;M2Cargo;M3Cargo;M4Cargo;M5Cargo;Freq_pg_criticalturn_fatality;Freq_pg_closetoshore_fatality;Freq_dg_fatality;Freq_coll_head_fatality;Freq_coll_over_fatality;Freq_coll_cross_fatality;Freq_fou_fatality;Freq_fire_fatality;Freq_fatality;Total_number_of_fatalities;Year;Analyseomraade
Bulk carriers;1. < 1000 GT;Distillate marine fuels;1537.619167;4039.833333;1502.666667;41.33333333;43.66666667;17;10.66666667;0.002452399;0.002619449;1;0.00E+00;0;0;0.000162747;0.000406867;0.007198067;7.09E-05;7.58E-05;2.22E-05;1.79E-06;6.44E-06;8.62E-06;3.08E-05;1.11E-05;0.000227659;0;0;0;0;0;0;0;0;0;0.000227659;0.000966115;0.000283307;0.000904503;5.90E-05;0.00021211;0.000283948;0.001260848;8.76E-05;0;0;0;0;0;0;0;0;4.76E-05;0;0;0;0;0;0;0;0;0;3.38E-07;3.61E-07;1.06E-07;1.43E-07;5.15E-07;5.15E-07;4.07E-06;1.11E-06;6.71E-06;1.84E-05;Base;1_1
Bulk carriers;2. 1000 - 4999 GT;Liquefied natural gas (LNG);276.7772222;1572.21;202.6666667;5.333333333;23.33333333;4.666666667;6.666666667;0.000326654;0.000340087;1.00E+00;0.00E+00;0;0;6.33E-05;0.000158343;0.001318328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.50E-08;4.68E-08;6.93E-09;7.66E-08;1.41E-07;1.41E-07;1.58E-06;4.32E-07;2.42E-06;1.16E-05;Base;1_1
Bulk carriers;2. 1000 - 4999 GT;Residual marine fuels ISO F 10-80;1558.769815;6525.243333;755.3333333;13.66666667;93.33333333;22.33333333;35;0.001202352;0.00080658;1;0.00E+00;0;0;0.000262873;0.000657182;0.005027675;3.48E-05;2.33E-05;5.79E-06;3.83E-06;8.46E-06;2.83E-05;4.97E-05;1.79E-05;0.000172123;0;0;0;0;0;0;0;0;0;0.000172123;0.001001064;0.000248501;0.001492265;0.000424401;0.000937694;0.003135254;0.006853165;0.000475947;0;0;0;0;0;0;0;0;0.000265333;4.97E-05;0;0;0;0;0;0;0;0;1.66E-07;1.11E-07;2.76E-08;3.06E-07;6.77E-07;6.77E-07;6.57E-06;1.79E-06;1.01E-05;5.01E-05;Base;1_1
Bulk carriers;2. 1000 - 4999 GT;Residual marine fuels, ISO F >180;73.79625;406.725;44;0;4;1;01.mai;7.07E-05;0;1.00E+00;0.00E+00;0;0;1.64E-05;4.10E-05;0.000217873;2.05E-06;0;2.23E-07;1.64E-07;3.79E-07;1.21E-06;3.10E-06;1.12E-06;8.24E-06;0;0;0;0;0;0;0;0;0;8.24E-06;0;9.55E-06;8.78E-05;1.82E-05;4.20E-05;0.000134368;0.000427165;2.97E-05;0;0;0;0;0;0;0;0;1.10E-05;3.10E-06;0;0;0;0;0;0;0;0;9.74E-09;0;1.06E-09;1.31E-08;3.03E-08;3.03E-08;4.10E-07;1.12E-07;5.95E-07;2.82E-06;Base;1_1
Bulk carriers;3. 5000 - 9999 GT;Distillate marine fuels;117.875463;1082.62;21.33333333;0;9;2.333333333;3.666666667;3.44E-05;0;1.00E+00;0.00E+00;0;0;4.36E-05;0.000109035;0.000392735;9.95E-07;0;2.44E-07;3.69E-07;8.84E-07;2.96E-06;8.25E-06;2.97E-06;1.67E-05;0;0;0;0;0;0;0;0;0;1.67E-05;0;2.87E-05;0.000117156;0.000112349;0.00026895;0.000901703;0.003121459;0.000216783;0;0;0;0;0;0;0;0;1.45E-05;4.22E-06;8.25E-06;0;0;0;0;0;0;0;4.74E-09;0;1.16E-09;2.95E-08;7.07E-08;7.07E-08;1.09E-06;2.97E-07;1.56E-06;1.09E-05;Base;1_1
Bulk carriers;3. 5000 - 9999 GT;Residual marine fuels ISO F 10-80;730.6149074;4258.37;491.6666667;3.333333333;47.66666667;10.66666667;18.66666667;0.000805265;0.000212554;1;0.00E+00;0;0;0.000171551;0.000428877;0.002721454;2.33E-05;6.15E-06;3.38E-06;1.96E-06;4.04E-06;1.51E-05;3.25E-05;1.17E-05;9.80E-05;0;0;0;0;0;0;0;0;0;9.80E-05;0.000724221;0.000397968;0.002743724;0.000595033;0.001229485;0.004590486;0.012277926;0.000852692;0;0;0;0;0;0;0;0;0.000119015;2.11E-05;3.25E-05;0;0;0;0;0;0;0;1.11E-07;2.93E-08;1.61E-08;1.56E-07;3.23E-07;3.23E-07;4.29E-06;1.17E-06;6.29E-06;4.59E-05;Base;1_1
Bulk carriers;3. 5000 - 9999 GT;Residual marine fuels, ISO F 80-180;89.98296296;981.08;36.66666667;0;3.333333333;2.333333333;1.666666667;5.66E-05;0;1.00E+00;0.00E+00;0;0;3.95E-05;9.88E-05;0.000311868;1.64E-06;0;1.79E-07;1.37E-07;8.84E-07;1.35E-06;7.48E-06;2.69E-06;1.44E-05;0;0;0;0;0;0;0;0;0;1.44E-05;0;2.11E-05;0.000192741;4.16E-05;0.00026895;0.000409865;0.002828695;0.000196451;0;0;0;0;0;0;0;0;1.15E-05;2.37E-06;7.48E-06;0;0;0;0;0;0;0;7.79E-09;0;8.53E-10;1.09E-08;7.07E-08;7.07E-08;9.88E-07;2.69E-07;1.41E-06;9.12E-06;Base;1_1
Bulk carriers;4. 10000 - 24999 GT;Distillate marine fuels;4.178055556;42.13;10.mai;0;0.5;0;0;1.75E-05;0;1.00E+00;0.00E+00;0;0;1.70E-06;4.24E-06;2.46E-05;5.05E-07;0;6.39E-09;2.05E-08;0;0;3.21E-07;1.16E-07;9.69E-07;0;0;0;0;0;0;0;0;0;9.69E-07;0;1.94E-06;0.000153614;1.61E-05;0;0;0.000313487;2.18E-05;0;0;0;0;0;0;0;0;0;6.48E-07;5.29E-07;3.21E-07;0;0;0;0;0;0;2.41E-09;0;3.04E-11;1.64E-09;0;0;4.24E-08;1.16E-08;5.56E-08;4.83E-07;Base;1_1
Bulk carriers;4. 10000 - 24999 GT;Residual marine fuels, ISO F 80-180;408.5736111;4427.503333;329.6666667;0;109.6666667;23.33333333;36.33333333;0.000544608;0;1.00E+00;0.00E+00;0;0;0.000178364;0.000445911;0.003206188;1.58E-05;0;1.14E-06;4.50E-06;8.84E-06;2.94E-05;3.37E-05;1.22E-05;0.000105488;0;0;0;0;0;0;0;0;0;0.000105488;0;0.000345984;0.004788862;0.003533034;0.006940939;0.02305919;0.032944846;0.002287993;0;0;0;0;0;0;0;0;0;7.17E-05;0.000103504;3.37E-05;0;0;0;0;0;0;7.50E-08;0;5.42E-09;3.60E-07;7.07E-07;7.07E-07;4.46E-06;1.22E-06;7.45E-06;7.74E-05;Base;1_1
Bulk carriers;4. 10000 - 24999 GT;Residual marine fuels, ISO F >180;577.1512963;6763.063333;290.6666667;0;104.3333333;27;21.33333333;0.000483603;0;1.00E+00;0.00E+00;0;0;0.000272454;0.000681134;0.00298053;1.40E-05;0;1.67E-06;4.28E-06;1.02E-05;1.72E-05;5.15E-05;1.86E-05;0.000117525;0;0;0;0;0;0;0;0;0;0.000117525;0;0.000508595;0.004252431;0.003361215;0.008031658;0.013539341;0.050323638;0.003494936;0;0;0;0;0;0;0;0;0;6.60E-05;8.20E-05;5.15E-05;0;0;0;0;0;0;6.66E-08;0;7.97E-09;3.42E-07;8.18E-07;8.18E-07;6.81E-06;1.86E-06;1.06E-05;9.46E-05;Base;1_1
